id;x;y;subnet;voltLvl
coord_0;11.4085;53.6504;LV3.101;7
coord_1;11.4111;53.6409;LV3.101;7
coord_2;11.4131;53.646;LV3.101;7
coord_3;11.4129;53.6486;LV3.101;7
coord_4;11.4129;53.6495;LV3.101;7
coord_5;11.4033;53.652;LV3.101;7
coord_6;11.4154;53.6507;LV3.101;7
coord_7;11.4018;53.6469;LV3.101;7
coord_8;11.408;53.6508;LV3.101;7
coord_9;11.4111;53.6431;LV3.101;7
coord_10;11.404;53.652;LV3.101;7
coord_11;11.4111;53.6422;LV3.101;7
coord_12;11.4131;53.6442;LV3.101;7
coord_13;11.4138;53.6437;LV3.101;7
coord_14;11.4033;53.6516;LV3.101;7
coord_15;11.4128;53.6509;LV3.101;7
coord_16;11.4135;53.6469;LV3.101;7
coord_17;11.4022;53.6457;LV3.101;7
coord_18;11.4154;53.6502;LV3.101;7
coord_19;11.4085;53.6497;LV3.101;7
coord_20;11.4106;53.6495;LV3.101;7
coord_21;11.4151;53.6476;LV3.101;7
coord_22;11.4056;53.6508;LV3.101;7
coord_23;11.4129;53.6517;LV3.101;7
coord_24;11.4131;53.6446;LV3.101;7
coord_25;11.4111;53.6504;LV3.101;7
coord_26;11.4015;53.6461;LV3.101;7
coord_27;11.4139;53.6442;LV3.101;7
coord_28;11.4065;53.652;LV3.101;7
coord_29;11.4028;53.6474;LV3.101;7
coord_30;11.4111;53.6492;LV3.101;7
coord_31;11.4163;53.649;LV3.101;7
coord_32;11.4129;53.6491;LV3.101;7
coord_33;11.4111;53.6445;LV3.101;7
coord_34;11.4138;53.6447;LV3.101;7
coord_35;11.4152;53.6471;LV3.101;7
coord_36;11.4163;53.6441;LV3.101;7
coord_37;11.4027;53.6508;LV3.101;7
coord_38;11.4034;53.6504;LV3.101;7
coord_39;11.4081;53.6521;LV3.101;7
coord_40;11.4111;53.65;LV3.101;7
coord_41;11.4129;53.6505;LV3.101;7
coord_42;11.4162;53.6467;LV3.101;7
coord_43;11.4112;53.6513;LV3.101;7
coord_44;11.4022;53.6465;LV3.101;7
coord_45;11.4015;53.6465;LV3.101;7
coord_46;11.4085;53.6508;LV3.101;7
coord_47;11.4015;53.6453;LV3.101;7
coord_48;11.4157;53.6494;LV3.101;7
coord_49;11.4041;53.6504;LV3.101;7
coord_50;11.4111;53.6474;LV3.101;7
coord_51;11.4048;53.652;LV3.101;7
coord_52;11.4111;53.6508;LV3.101;7
coord_53;11.4111;53.6488;LV3.101;7
coord_54;11.4111;53.6455;LV3.101;7
coord_55;11.4056;53.6503;LV3.101;7
coord_56;11.4111;53.6413;LV3.101;7
coord_57;11.4041;53.6508;LV3.101;7
coord_58;11.4027;53.6488;LV3.101;7
coord_59;11.4085;53.65;LV3.101;7
coord_60;11.4028;53.6469;LV3.101;7
coord_61;11.4079;53.6512;LV3.101;7
coord_62;11.4129;53.6513;LV3.101;7
coord_63;11.4048;53.6516;LV3.101;7
coord_64;11.4085;53.6493;LV3.101;7
coord_65;11.41;53.6492;LV3.101;7
coord_66;11.4163;53.6462;LV3.101;7
coord_67;11.404;53.6512;LV3.101;7
coord_68;11.4111;53.6478;LV3.101;7
coord_69;11.4111;53.6435;LV3.101;7
coord_70;11.4111;53.6521;LV3.101;7
coord_71;11.4111;53.6427;LV3.101;7
coord_72;11.4027;53.6497;LV3.101;7
coord_73;11.402;53.6474;LV3.101;7
coord_74;11.4024;53.6483;LV3.101;7
coord_75;11.402;53.6478;LV3.101;7
coord_76;11.4129;53.6521;LV3.101;7
coord_77;11.4111;53.6517;LV3.101;7
coord_78;11.4073;53.6508;LV3.101;7
coord_79;11.4151;53.649;LV3.101;7
coord_80;11.4154;53.6516;LV3.101;7
coord_81;11.4111;53.646;LV3.101;7
coord_82;11.4163;53.6437;LV3.101;7
coord_83;11.4163;53.648;LV3.101;7
coord_84;11.4135;53.6455;LV3.101;7
coord_85;11.4111;53.6464;LV3.101;7
coord_86;11.4027;53.6492;LV3.101;7
coord_87;11.4111;53.6469;LV3.101;7
coord_88;11.4154;53.6521;LV3.101;7
coord_89;11.4163;53.6445;LV3.101;7
coord_90;11.4015;53.6457;LV3.101;7
coord_91;11.404;53.6516;LV3.101;7
coord_92;11.4129;53.6482;LV3.101;7
coord_93;11.4081;53.6517;LV3.101;7
coord_94;11.4154;53.6511;LV3.101;7
coord_95;11.4135;53.6477;LV3.101;7
coord_96;11.4135;53.6464;LV3.101;7
coord_97;11.4056;53.652;LV3.101;7
coord_98;11.4163;53.6476;LV3.101;7
coord_99;11.4151;53.648;LV3.101;7
coord_100;11.4034;53.65;LV3.101;7
coord_101;11.4056;53.6516;LV3.101;7
coord_102;11.4129;53.65;LV3.101;7
coord_103;11.4135;53.6473;LV3.101;7
coord_104;11.4096;53.6531;LV3.101;7
coord_105;11.4125;53.6456;LV3.101;7
coord_106;11.4122;53.6477;LV3.101;7
coord_107;11.4154;53.6498;LV3.101;7
coord_108;11.4111;53.644;LV3.101;7
coord_109;11.4163;53.6471;LV3.101;7
coord_110;11.4027;53.6503;LV3.101;7
coord_111;11.4163;53.6485;LV3.101;7
coord_112;11.4073;53.6504;LV3.101;7
coord_113;11.4151;53.6485;LV3.101;7
coord_114;11.4029;53.6478;LV3.101;7
coord_115;11.4135;53.6451;LV3.101;7
coord_116;11.41;53.6488;LV3.101;7
coord_117;11.4163;53.6449;LV3.101;7
coord_118;11.4111;53.6418;LV3.101;7
coord_119;11.4034;53.6508;LV3.101;7
coord_120;11.4111;53.6404;LV3.101;7
coord_121;11.4056;53.6512;LV3.101;7
coord_122;11.4163;53.6453;LV3.101;7
coord_123;11.4163;53.6458;LV3.101;7
coord_124;11.4111;53.6449;LV3.101;7
coord_125;11.4111;53.6483;LV3.101;7
coord_126;11.403;53.6512;LV3.101;7
coord_127;11.4022;53.6461;LV3.101;7
coord_128;11.4096;53.6531;MV1.101_LV3.101_Feeder1;5
coord_129;11.4096;53.6531;LV3.101;5
