id;node;type;profile;calc_type;pRES;qRES;sR;subnet;voltLvl
LV3.101 SGen 1;LV3.101 Bus 121;PV;PV7;pq;0.0076;0;0.0076;LV3.101;7
LV3.101 SGen 2;LV3.101 Bus 81;PV;PV3;pq;0.00656;0;0.00656;LV3.101;7
LV3.101 SGen 3;LV3.101 Bus 86;PV;PV3;pq;0.0078;0;0.0078;LV3.101;7
LV3.101 SGen 4;LV3.101 Bus 17;PV;PV4;pq;0.0018;0;0.0018;LV3.101;7
LV3.101 SGen 5;LV3.101 Bus 62;PV;PV3;pq;0.00832;0;0.00832;LV3.101;7
LV3.101 SGen 6;LV3.101 Bus 1;PV;PV4;pq;0.027;0;0.027;LV3.101;7
LV3.101 SGen 7;LV3.101 Bus 29;PV;PV4;pq;0.0036;0;0.0036;LV3.101;7
LV3.101 SGen 8;LV3.101 Bus 125;PV;PV1;pq;0.01696;0;0.01696;LV3.101;7
LV3.101 SGen 9;LV3.101 Bus 44;PV;PV4;pq;0.00665;0;0.00665;LV3.101;7
LV3.101 SGen 10;LV3.101 Bus 63;PV;PV1;pq;0.00686;0;0.00686;LV3.101;7
LV3.101 SGen 11;LV3.101 Bus 129;PV;PV1;pq;0.0092;0;0.0092;LV3.101;7
LV3.101 SGen 12;LV3.101 Bus 36;PV;PV1;pq;0.0076;0;0.0076;LV3.101;7
LV3.101 SGen 13;LV3.101 Bus 70;PV;PV3;pq;0.018;0;0.018;LV3.101;7
LV3.101 SGen 14;LV3.101 Bus 14;PV;PV7;pq;0.0091;0;0.0091;LV3.101;7
LV3.101 SGen 15;LV3.101 Bus 88;PV;PV7;pq;0.00672;0;0.00672;LV3.101;7
LV3.101 SGen 16;LV3.101 Bus 32;PV;PV7;pq;0.014;0;0.014;LV3.101;7
LV3.101 SGen 17;LV3.101 Bus 90;PV;PV3;pq;0.0326;0;0.0326;LV3.101;7
