;index;T_amb_°C;HL_kW
0;7488;2.4;5.9196243576
900;7489;2.4;6.027845856
1800;7490;2.4;6.16614449485714
2700;7491;2.4;6.2442888504
3600;7492;3;6.3525103488
4500;7493;3;6.5462489328
5400;7494;3;6.7399875192
6300;7495;3;6.9337261056
7200;7496;1.6;7.1274646896
8100;7497;1.6;7.3181049288
9000;7498;1.6;7.5087451704
9900;7499;1.6;7.6993854096
10800;7500;0.3;7.8900256488
11700;7501;0.3;8.030313672
12600;7502;0.3;8.1706016952
13500;7503;0.3;8.3108897208
14400;7504;-0.2;8.451177744
15300;7505;-0.2;9.5702452848
16200;7506;-0.2;11.1432042565714
17100;7507;-0.2;11.8876746569143
18000;7508;0.9;12.9274479144
18900;7509;0.9;13.0229246221714
19800;7510;0.9;13.0855899037714
20700;7511;0.9;12.7490494710857
21600;7512;0.5;13.0468633217143
22500;7513;0.5;12.5544092725714
23400;7514;0.5;12.6525609353143
24300;7515;0.5;14.0522325980571
25200;7516;0.1;15.6405699750857
26100;7517;0.1;15.5025039144
27000;7518;0.1;14.2625207108571
27900;7519;0.1;15.0595803668571
28800;7520;0.3;14.6918343061714
29700;7521;0.3;13.0963029092571
30600;7522;0.3;13.0073629385143
31500;7523;0.3;11.0345001130286
32400;7524;0.3;10.9729030018286
33300;7525;0.3;11.0782085732571
34200;7526;0.3;10.2702627161143
35100;7527;0.3;10.0939368589714
36000;7528;1.1;10.0707310018286
36900;7529;1.1;9.36167628617143
37800;7530;1.1;9.4346272848
38700;7531;1.1;9.63062114057143
39600;7532;2.4;8.1915121392
40500;7533;2.4;8.51248337485714
41400;7534;2.4;7.6631803248
42300;7535;2.4;7.45096584617143
43200;7536;4;7.23328279611429
44100;7537;4;6.84221813108571
45000;7538;4;6.2105363256
45900;7539;4;5.7675202344
46800;7540;5.5;5.40379842651429
47700;7541;5.5;4.93508300057143
48600;7542;5.5;4.46910185794286
49500;7543;5.5;3.95663785817143
50400;7544;6.5;3.85431671794286
51300;7545;6.5;2.88887778308571
52200;7546;6.5;2.36639313322286
53100;7547;6.5;3.15089705526857
54000;7548;7.8;1.81906383445714
54900;7549;7.8;1.56800216149714
55800;7550;7.8;0.96148334568
56700;7551;7.8;1.21079595867429
57600;7552;8.5;0.680837142857143
58500;7553;8.5;0.467562857142857
59400;7554;8.5;0.850362857142857
60300;7555;8.5;0.155854285714286
61200;7556;8.1;0.298037142857143
62100;7557;8.1;0.013671428571429
63000;7558;8.1;0
63900;7559;8.1;0.123042857142857
64800;7560;7.5;0.03828
65700;7561;7.5;0.880106171005714
66600;7562;7.5;0.926255199394286
67500;7563;7.5;1.37434422754286
68400;7564;5.5;2.19156182712
69300;7565;5.5;2.35348751585143
70200;7566;5.5;2.83532463291429
71100;7567;5.5;3.53043603497143
72000;7568;3;3.92751029657143
72900;7569;3;4.25069103668572
73800;7570;3;5.20002320297143
74700;7571;3;5.29352394308571
75600;7572;1.6;5.64678182605714
76500;7573;1.6;4.72990419565714
77400;7574;1.6;4.25324656525714
78300;7575;1.6;3.45120893485714
79200;7576;1.2;2.14606273230857
80100;7577;1.2;2.5794358752
81000;7578;1.2;3.6498975888
81900;7579;1.2;3.8016393048
82800;7580;0.1;3.9533810184
83700;7581;0.1;4.3102949472
84600;7582;0.1;4.6672088784
85500;7583;0.1;5.0241228072
86400;7584;-0.4;5.3810367384
